Participant_id	Openness	Conscientiousness	Extraversion	Agreeableness	Neuroticism
137	4.0	4.43	5.8	2.5	5.0
138	4.17	5.71	5.2	5.33	3.4
139	5.5	6.43	5.4	6.67	7.0
140	6.33	5.14	7.0	5.33	4.8
141	4.17	5.0	4.8	5.5	5.6
142	4.67	4.43	4.8	4.83	4.8
143	3.5	4.71	4.2	4.67	5.4
144	5.5	6.14	2.2	3.17	6.8
145	5.0	6.14	6.2	5.5	2.4
146	3.67	4.14	4.0	5.33	5.8
147	5.33	4.43	5.8	6.17	3.0
148	4.67	4.57	3.8	4.33	6.2
149	4.67	4.86	4.2	5.0	4.0
150	5.0	5.14	5.8	5.83	5.6
151	5.33	6.29	6.4	6.17	3.6
152	4.5	4.71	5.6	5.17	1.2
153	3.17	4.86	3.2	4.33	3.0
154	4.17	2.86	3.2	3.5	5.6
155	5.33	4.57	3.0	5.0	5.6
156	2.67	3.86	3.0	3.5	5.0
157	5.33	3.43	5.0	5.5	4.4
158	3.83	5.57	5.6	4.33	3.6
159	4.17	6.29	2.4	3.83	4.6
160	4.33	3.43	5.2	4.33	5.4
161	3.83	5.29	2.6	4.33	5.2
162	3.83	5.0	4.0	4.67	4.6
163	5.67	6.57	5.0	4.5	4.0
164	2.83	4.43	5.6	4.33	3.4
165	6.83	6.71	7.0	6.33	1.0
166	3.83	5.43	2.2	3.5	4.0
167	4.83	4.57	2.0	5.5	4.6
168	6.33	4.0	7.0	4.83	1.0
169	5.67	5.29	6.2	3.17	3.0
170	6.0	4.57	6.4	4.17	5.2
171	3.83	4.29	3.0	3.67	4.0
172	4.0	4.29	6.6	4.33	4.8
173	4.0	1.57	7.0	5.0	7.0
174	4.67	3.71	6.0	4.67	5.4
175	6.67	6.57	7.0	7.0	1.6
176	4.0	3.43	4.4	3.83	4.4
177	5.5	5.43	6.2	4.67	3.4
178	5.33	4.43	6.8	4.83	4.8
179	7.0	7.0	7.0	6.83	1.0
180	6.17	3.86	5.2	5.83	5.4
181	2.17	3.57	4.6	3.33	5.2
182	3.0	4.86	3.4	5.83	4.8
183	5.67	4.71	6.4	5.33	1.8
184	5.33	5.71	5.6	5.5	3.4
185	4.17	5.71	4.4	6.33	2.6
186	4.0	4.14	3.4	4.0	5.0
187	3.0	5.0	2.8	5.17	2.8
188	5.33	6.0	4.0	5.17	3.8
189	5.83	5.43	3.0	6.17	3.8
190	5.5	4.29	5.8	4.83	4.0
191	5.17	5.0	5.6	4.17	5.2
192	4.0	4.57	4.2	5.0	4.4
193	4.5	4.57	3.8	3.33	5.2
194	4.17	4.71	4.0	4.5	3.2
195	3.0	2.29	1.2	3.5	7.0
196	3.83	4.0	5.4	4.17	3.4
197	3.5	4.57	4.0	4.17	2.8
198	3.0	5.14	3.4	5.5	6.8
199	5.67	3.57	4.0	5.5	5.2
200	4.0	3.71	4.4	4.33	4.6
201	6.17	4.43	5.0	4.83	4.8
202	4.67	5.14	5.0	5.67	2.6
203	1.0	1.86	1.0	6.0	1.0
204	5.5	6.29	5.8	6.5	2.8
205	3.33	5.29	4.8	5.83	2.2
206	3.0	4.43	3.0	4.5	5.0
207	5.67	6.86	4.8	4.17	2.2
208	1.0	2.14	2.6	3.0	7.0
209	5.5	2.14	6.6	4.17	6.4
210	6.33	6.0	7.0	5.83	6.0
211	4.5	4.71	5.6	4.83	3.0
212	6.0	4.43	5.2	4.67	5.0
213	4.17	5.0	3.8	4.83	4.8
214	4.67	5.43	3.4	6.17	4.4
215	4.67	4.71	5.8	6.0	5.6
216	5.33	4.86	3.8	4.5	4.4
217	5.67	5.71	6.4	5.67	3.2
218	3.83	3.86	4.2	4.17	3.8
219	4.83	4.71	4.8	6.0	4.2
220	4.17	4.0	3.2	4.67	5.6
221	6.17	4.57	6.2	4.5	3.2
222	4.67	2.71	2.4	4.33	3.8
223	4.33	4.29	3.6	4.33	2.4
224	2.0	1.57	2.8	3.33	6.8
225	4.17	5.14	2.6	3.0	5.4
226	6.17	3.14	4.2	4.5	7.0
227	4.83	3.43	3.6	3.17	6.4
228	4.33	4.86	4.0	5.0	4.0
229	4.5	6.0	5.0	5.5	2.2
230	5.0	3.71	5.2	4.33	4.4
231	3.17	2.71	2.6	4.0	5.2
232	3.17	5.29	5.8	4.5	4.2
233	5.33	5.14	5.6	5.33	3.2
234	4.5	3.86	3.4	1.83	6.2
235	4.0	4.14	4.2	5.5	5.0
236	2.5	4.86	4.4	5.67	5.2
237	2.5	2.43	3.2	2.0	5.4
238	2.5	4.43	3.6	5.5	4.2
239	3.33	3.86	3.2	5.17	3.4
240	6.0	3.0	6.4	4.33	5.2
241	3.83	4.0	3.2	4.5	3.8
242	4.33	4.43	6.0	5.33	5.6
243	5.33	5.29	5.0	4.33	7.0
244	4.83	3.0	3.4	5.0	5.0
245	4.17	3.57	3.2	4.0	5.0
246	3.17	3.71	3.2	3.0	4.0
247	2.67	5.29	2.8	4.0	5.0
248	4.17	4.0	5.0	4.33	4.2
249	2.83	5.0	5.0	5.33	5.2
250	5.0	4.86	4.6	4.0	4.6
251	5.5	4.14	5.0	3.83	6.6
252	1.83	1.86	2.8	3.83	2.4
253	3.83	3.71	2.0	6.0	5.8
254	3.5	4.86	4.0	5.17	4.0
255	3.83	2.71	4.0	4.5	4.2
256	4.67	4.71	5.2	4.5	2.8
257	4.17	3.0	4.0	2.83	6.4
258	2.0	2.0	1.2	5.5	5.0
259	2.5	5.14	2.8	4.0	5.4
260	6.67	6.86	2.8	1.5	5.0
261	4.67	5.29	6.0	5.67	3.4
262	5.17	4.71	4.8	4.17	5.8
263	5.17	3.71	5.4	4.17	2.4
264	2.67	3.14	3.6	4.67	4.4
265	3.33	3.86	4.0	6.0	4.8
266	3.17	3.29	4.0	4.5	5.0
267	3.67	6.71	2.8	5.17	6.6
268	2.5	3.71	1.6	4.33	6.0
269	4.17	4.14	2.6	4.33	4.8
270	3.67	3.0	3.8	3.5	4.6
271	1.67	3.29	1.4	3.83	5.8
272	4.83	5.29	4.0	3.33	3.8
273	4.83	4.57	4.8	5.0	5.2
274	4.5	5.0	3.0	5.0	4.8
275	2.17	3.57	2.4	3.5	6.2
276	4.33	4.86	4.8	4.5	3.2
277	2.0	2.29	3.8	5.0	3.8
278	3.33	5.29	5.2	6.17	4.0
279	2.67	2.86	3.6	3.0	5.2
280	1.17	7.0	2.0	3.5	6.6
281	4.5	4.71	3.8	3.67	3.8
282	3.0	4.71	5.8	4.0	3.8
283	5.33	5.86	3.8	4.5	2.0
284	5.0	6.29	4.8	5.67	3.2
285	4.17	6.71	6.0	6.5	4.0
286	4.67	5.29	6.8	4.0	5.0
287	3.83	6.14	5.0	5.0	2.6
288	2.33	2.43	4.2	3.67	6.0
289	5.33	5.71	5.6	4.67	4.2
290	3.5	3.0	2.4	3.83	4.2
291	2.83	4.86	3.0	3.5	5.2
292	4.0	4.57	5.0	3.33	5.4
293	3.67	4.29	2.6	5.33	6.0
294	2.0	3.86	1.2	3.17	4.4
295	3.5	5.71	4.8	3.83	4.2
296	4.5	4.43	3.8	4.5	3.4
297	3.0	3.86	5.0	4.33	5.2
298	3.17	1.29	2.6	3.17	7.0
299	5.5	7.0	5.0	3.83	1.0
300	4.67	4.71	6.0	5.5	3.0
301	1.67	4.86	4.6	4.67	4.8
302	3.5	3.86	1.6	4.17	5.8
